u,v,length
280170626,1051414587,47.754999999999995
280170626,8637713988,826.0520000000001
280170649,1051414587,26.54
280170649,280170626,35.398
280170649,1131046557,1743.7969999999991
281676190,2496629828,109.305
281676216,2987721680,54.909000000000006
281676216,289666080,159.851
281676469,597772737,753.47
281676891,316735739,169.86100000000002
281677027,316735739,76.95
281677027,6621453725,177.72299999999998
281722522,1613294318,42.349
281722522,289550177,27.046999999999997
281722522,286898877,72.064
281722523,3270255161,119.67800000000001
281722523,1726097071,9.155999999999999
281722574,1613294346,79.805
281722574,2600045637,42.101
281722642,4862273103,10.931000000000001
281722642,1034005033,32.193999999999996
281722781,281722574,129.036
281723189,288170916,179.904
282848454,293129408,180.524
282848454,6335783955,280.126
282848454,253311607,264.34399999999994
283548803,290881379,77.67
283548828,7618606623,186.70500000000004
283548828,291157876,118.05099999999999
285746711,308780523,10.269
285748611,285749420,20.24
285748611,1613294228,48.285
285749420,285748611,20.24
285750052,256011286,273.539
285750052,288372268,144.97
285750052,285750164,129.047
285750164,1041585695,51.751
285750164,1041585707,46.141000000000005
285750164,285750052,129.047
286429559,1051895012,149.715
286429559,293668304,149.735
286429560,286429566,142.673
286429560,1051894691,219.415
286429560,286429559,70.339
286429566,286429571,50.291000000000004
286429566,286429560,142.673
286429571,1051894791,36.706
286429571,286429566,50.291000000000004
286429572,286429571,35.068
286429572,1051894791,27.564
286429574,2015267759,28.084
286429574,286429577,107.97699999999999
286429577,286429574,107.977
286429577,1051895018,159.657
286429587,1051894952,29.9
286429587,1051894574,23.976
286429587,1051895018,33.865
286633611,566142529,86.192
286633611,256363239,245.623
286633612,286633611,51.496
286633615,2917466049,61.689
286633615,983508298,93.049
286633618,1034004855,12.359
286633618,286633615,78.61
286633620,2917466051,60.677
286633620,1034004855,51.008
286633620,286633618,49.127
286633639,1615603809,105.67000000000002
286633639,1615603862,148.82199999999997
286639318,6720418135,522.8540000000002
286639318,474174629,411.033
286639318,1685959326,842.684
286639825,1051894691,22.971
286639825,699691314,104.433
286639825,699690013,50.443999999999996
286898877,1613294352,47.177
286898877,281722522,72.064
288165758,286633620,79.908
288165758,2413608669,61.813999999999986
288166721,1442732055,65.013
288167270,984409317,9.644
288167270,4844329844,64.823
288167500,4844329846,73.492
288167500,288167270,168.00600000000003
288167501,288167503,126.77000000000001
288167501,1613294296,223.101
288167503,1615604173,218.89600000000002
288167546,6853986550,54.605999999999995
288167546,4844329847,73.61300000000001
288170322,288167546,50.366
288170758,1615604025,112.623
288170875,288171068,18.189
288170877,288170916,22.651
288170877,469515593,101.605
288170916,1615604170,91.137
288171068,236675147,199.549
288171068,288170877,38.013999999999996
288171749,1615604006,60.526
288171749,1615604013,40.163
288171751,289864782,69.994
288171751,1041585759,191.97400000000002
288173188,1705682793,269.09800000000007
288173188,288173189,83.16299999999998
288173189,288173242,141.976
288173189,288175156,285.31
288173242,288175661,62.78
288175156,1705682793,61.00700000000001
288175156,288176019,176.614
288175661,288175783,25.745
288175661,660415475,28.098999999999997
288175783,1034005033,12.831
288175783,288173188,143.54999999999998
288175783,660415475,34.499
288176019,566141268,43.879
288176252,1034004998,49.693
288176252,288175783,270.92600000000004
288176359,7196953012,7.771
288176359,525461392,10.866
288176360,4870102386,23.131
288176360,1034004744,47.353
288176481,4870102383,165.288
288177038,232200869,297.887
288177038,7041309927,484.433
288177167,9720043246,12.653
288178553,5122876749,109.453
288361285,293111739,49.812000000000005
288361285,288361286,169.698
288361285,288361296,49.364000000000004
288361286,1002550719,38.208
288361291,7686317275,58.923
288361291,1013426594,150.761
288361295,3066150336,8.315
288361295,508051651,48.001
288361295,288361296,120.159
288361296,288361285,49.364000000000004
288361296,1002550732,173.48
288361310,232216519,22.721
288361310,232216520,50.853
288372140,9244626581,8.261
288372140,288372141,8.578
288372140,1041274191,9.266
288372141,288372140,8.578
288372141,1442838594,363.065
288372141,4876292631,73.737
288372268,356625428,257.343
288372268,1442838594,21.84
288372268,285750052,144.97
288372458,288372461,33.177
288372461,4557487820,16.784
288372461,4557487810,33.632
288372602,4555616919,264.03200000000004
288372602,288372603,20.909
288372603,288372602,20.909
288372603,1615603716,204.534
288372736,984409364,267.02799999999996
288372736,984409364,75.401
288372935,508019969,34.443
288372937,508019983,29.7
288372937,508019969,23.941
288373068,600716037,78.353
288373551,165997979,42.623
288373551,508020318,175.537
288382090,1615603946,40.12800000000001
288737680,4862386818,243.50499999999994
288737703,288737712,106.62
288737703,256016231,136.568
288737712,256016231,76.855
288737712,699691795,177.33999999999997
289338722,262147534,107.569
289338722,289338725,61.97399999999999
289338725,308234641,138.57100000000003
289338725,4862273086,9.671999999999999
289339837,253332980,32.96
289339837,288165758,31.686
289340121,7084047894,11.423
289340121,288177167,58.988
289340123,356559053,94.146
289340191,289340518,33.643
289340191,579145637,95.022
289340518,289340191,33.643
289340712,289340191,80.262
289340712,1680952389,163.004
289341205,253315365,99.768
289341205,4862280121,14.013
289341207,308477534,115.17099999999999
289341628,4862280129,71.527
289341628,1680952102,144.266
289341630,1923609374,87.99000000000001
289341787,4781958922,94.524
289550177,281722523,43.594
289558689,274241644,56.038
289558691,984409289,46.489
289558691,235148491,34.515
289558700,1726097093,416.70900000000006
289558700,1442732028,44.553
289560034,2995468924,52.699999999999996
289560034,281676216,180.428
289665351,508026730,181.423
289665351,508026940,128.173
289665351,508020318,163.386
289665378,289665351,125.768
289665380,508026942,108.188
289666080,289666935,53.066
289666080,249968569,19.834
289666605,1623825445,6.741
289666605,2957737158,23.442
289666715,289669868,130.735
289666715,2977109522,70.604
289666715,2556775251,57.751
289666844,249968569,53.536
289666844,289666935,20.067
289666935,5090603623,147.52700000000002
289666936,1013426305,29.12
289666937,1002550813,142.374
289669868,289837791,50.801
289669868,289837298,236.70999999999992
289837298,595721905,121.19599999999998
289837791,289837792,58.07
289837791,1012752104,149.651
289837791,289839350,117.888
289837792,289837791,58.07
289839350,4791936458,113.62700000000001
289839472,595721912,59.897
289839472,2977110237,65.424
289864782,288171751,69.994
289865476,7837455823,154.789
289865476,237492208,174.682
289867127,288372603,21.89
289867127,288372602,12.18
290057652,1623825431,337.561
290057652,1283995876,622.9289999999999
290057652,290070011,296.523
290057726,1283995876,29.675
290057726,290057729,69.94500000000001
290057729,290057726,69.94500000000001
290057729,1623825443,218.926
290057729,290057730,25.772
290057730,1623825499,82.626
290057730,290057729,25.772
290057730,239991573,109.103
290069395,290072782,58.321
290069395,1012176395,14.946
290069395,290070011,198.675
290069395,1012176455,20.461
290069441,290069764,68.381
290069441,1623825506,50.643
290069764,290069765,46.127
290069765,290072863,110.779
290069765,1012176402,33.385
290070011,1283995974,133.78199999999998
290070011,290069395,198.675
290070046,290070175,61.423
290070046,290070237,123.87700000000001
290070172,290070307,21.107
290070174,7060156481,35.16
290070175,290070236,88.294
290070175,290070307,56.001999999999995
290070236,290070174,50.226
290070236,290070572,17.588
290070237,290070572,33.333
290070237,8449215697,70.384
290070307,290070172,21.107
290070307,290070174,71.17
290070314,290070463,43.157
290070314,8449215697,39.195
290070314,290072444,86.22800000000001
290070316,4860805293,26.424
290070316,290072782,109.719
290070316,290070463,43.903
290070317,4860805293,15.791
290070317,4860805294,13.739
290070337,8449215697,4.153
290070337,290070339,22.091
290070339,274479595,28.130000000000003
290070339,290072444,90.49000000000001
290070339,1012176438,52.384
290070463,290070314,43.157
290070463,1623825445,124.767
290070463,290070316,43.903
290070570,2957737697,62.18
290070572,290070570,50.433
290070944,1623825522,12.739
290070944,290327355,109.462
290071881,519550673,52.207
290071881,519550497,24.546999999999997
290072444,2957737158,31.384
290072444,290070339,90.49
290072782,290069395,58.321
290072782,1623825445,47.097
290072863,290069765,110.779
290073406,290074238,57.19500000000001
290073406,290073689,82.96199999999999
290073600,290073601,58.258
290073601,290073602,85.916
290073601,290073689,150.194
290073602,2979415356,25.491
290073602,290073406,164.952
290073689,983470728,14.693
290074238,1002550753,178.82899999999998
290327355,295887702,113.71599999999998
290327355,290070944,109.46199999999999
